Designator,Mid X,Mid Y,Rotation,Layer
D1,180.19625,-99.21875,225.0,top
D10,213.51875,-71.4375,315.0,top
D11,213.51875,-95.25,315.0,top
D12,213.51875,-111.125,315.0,top
D13,180.18125,-103.1875,225.0,top
D14,180.18125,-87.3125,225.0,top
D15,180.18125,-71.4375,225.0,top
D16,180.34,-60.96,180.0,top
D17,184.94375,-47.625,135.0,top
D18,180.18125,-47.625,135.0,top
D19,213.51875,-47.625,45.0,top
D2,180.18125,-83.34375,225.0,top
D20,208.75625,-47.625,45.0,top
D21,213.51875,-58.7375,0.0,top
D22,213.51875,-67.46875,315.0,top
D23,213.51875,-91.28125,315.0,top
D24,213.51875,-107.15625,315.0,top
D25,180.18125,-107.15625,225.0,top
D26,180.18125,-91.28125,225.0,top
D27,180.18125,-75.40625,225.0,top
D28,180.34,-63.5,180.0,top
D29,184.94375,-51.59375,135.0,top
D3,180.18125,-67.46875,225.0,top
D30,180.18125,-51.59375,135.0,top
D31,213.51875,-51.59375,45.0,top
D32,208.75625,-51.59375,45.0,top
D33,213.51875,-63.5,0.0,top
D34,213.51875,-75.40625,315.0,top
D35,213.51875,-87.3125,315.0,top
D36,213.51875,-103.1875,315.0,top
D37,180.18125,-111.125,225.0,top
D38,180.18125,-95.25,225.0,top
D39,180.18125,-79.375,225.0,top
D4,180.34,-58.42,180.0,top
D40,184.94375,-55.5625,135.0,top
D41,208.75625,-55.5625,45.0,top
D42,213.51875,-79.375,315.0,top
D43,213.51875,-83.34375,315.0,top
D44,213.51875,-99.21875,315.0,top
D5,184.94375,-43.65625,135.0,top
D6,180.18125,-43.65625,135.0,top
D7,213.51875,-43.65625,45.0,top
D8,208.75625,-43.65625,45.0,top
D9,213.51875,-61.11875,0.0,top
SW1: RST,196.925,-79.1125,0.0,top
